customer_id,age,gender,country,product_id,product_category,price,discount,payment_type,quantity,order_date,shipping_days,device_type,referral_source,session_duration,clicks,returned,rating,review_length,churn
50,42,Male,USA,8764,Books,613.16,25.6,Cash,3,2023-05-03,3,Tablet,Facebook,913,46,0,5,227,0
51,31,Male,Germany,3908,Home,169.87,2.03,PayPal,3,2023-08-28,8,Mobile,Facebook,864,20,0,1,85,1
52,67,Male,USA,1200,Home,588.81,32.91,Cash,3,2023-05-24,3,Desktop,Google,533,38,0,3,11,0
53,26,Female,Germany,7759,Books,329.66,9.7,UPI,1,2023-03-03,9,Desktop,Instagram,267,45,1,1,183,0
54,43,Male,Australia,6973,Clothing,779.85,20.93,Cash,3,2023-05-09,7,Tablet,Direct,349,4,1,5,270,0
55,19,Female,USA,2068,Sports,660.3,27.38,UPI,1,2023-03-09,6,Mobile,Instagram,920,38,0,4,240,1
56,37,Female,UK,6790,Home,135.07,31.84,Credit Card,1,2023-12-02,5,Desktop,Email,259,23,0,5,206,0
57,45,Female,UK,2477,Clothing,827.79,20.82,UPI,1,2022-06-12,5,Desktop,Instagram,149,38,0,2,322,0
58,64,Female,UK,1557,Beauty,538.01,47.28,Debit Card,3,2022-10-05,1,Desktop,Direct,129,44,0,4,419,1
59,24,Male,USA,7401,Clothing,648.87,2.46,UPI,3,2023-04-28,5,Desktop,Google,729,24,0,3,246,0
60,61,Male,India,7779,Electronics,240.15,41.72,Cash,1,2022-03-25,5,Mobile,Facebook,683,49,0,1,425,0
61,25,Male,Canada,6259,Books,609.02,37.81,Debit Card,3,2022-01-31,3,Mobile,Direct,686,22,0,4,178,0
62,64,Other,India,6170,Clothing,259.55,2.68,Debit Card,1,2023-12-05,9,Desktop,Google,760,30,0,4,247,0
63,52,Other,Canada,5946,Beauty,517.19,22.15,UPI,1,2022-01-03,8,Desktop,Email,780,29,0,1,357,1
64,31,Female,Germany,8955,Electronics,493.33,2.93,Debit Card,4,2023-03-18,1,Tablet,Direct,935,26,0,1,221,0
65,34,Female,UK,3990,Clothing,732.44,4.85,Credit Card,1,2023-11-15,2,Tablet,Instagram,161,12,0,5,59,0
66,53,Female,UK,7372,Clothing,90.2,3.53,Debit Card,3,2023-06-03,8,Tablet,Facebook,841,43,0,3,35,0
67,67,Female,Canada,6945,Home,107.34,31.69,UPI,1,2023-05-30,7,Tablet,Google,973,32,0,2,50,0
68,57,Female,UK,1405,Home,529.59,19.77,PayPal,4,2023-09-04,6,Desktop,Instagram,288,19,1,3,63,0
69,21,Other,India,3732,Home,109.62,43.74,Cash,3,2023-08-09,9,Desktop,Direct,734,15,0,2,167,0
70,19,Female,USA,6422,Sports,799.11,34.91,UPI,3,2023-11-25,5,Mobile,Facebook,383,36,0,2,45,1
71,23,Male,UK,7497,Home,854.57,38.3,Cash,4,2023-11-25,9,Tablet,Direct,899,2,0,5,325,0
72,59,Female,Australia,2436,Home,291.44,27.41,PayPal,4,2023-03-06,1,Mobile,Facebook,897,49,0,4,498,0
73,21,Male,UK,6160,Beauty,619.98,37.47,Credit Card,4,2023-07-20,1,Mobile,Google,783,11,1,3,488,0
74,46,Male,Australia,1273,Home,357.12,44.93,PayPal,2,2022-06-24,8,Desktop,Email,948,20,1,3,430,0
75,35,Male,Germany,9287,Clothing,158.53,37.8,Credit Card,4,2022-12-17,3,Tablet,Instagram,576,15,0,1,288,1
76,43,Male,USA,5872,Home,978.92,16.08,Debit Card,2,2022-10-31,1,Desktop,Facebook,324,12,0,2,417,0
77,61,Female,Canada,9115,Electronics,788.05,40.96,PayPal,1,2023-01-13,9,Tablet,Facebook,689,4,0,1,113,0
78,51,Female,USA,5762,Electronics,996.78,28.53,PayPal,2,2023-10-02,6,Desktop,Google,319,29,0,3,245,1
79,27,Female,USA,2817,Home,58.6,11.33,Cash,2,2023-03-13,8,Tablet,Direct,863,2,0,5,103,0
80,53,Female,Canada,4320,Clothing,273.1,13.47,Credit Card,1,2023-07-04,9,Desktop,Direct,617,49,0,4,362,1
81,31,Female,USA,3499,Sports,100.39,26.02,Cash,4,2022-02-20,4,Desktop,Facebook,410,25,0,3,399,1
82,48,Other,Germany,3227,Home,418.52,31.12,Debit Card,3,2023-12-25,3,Mobile,Direct,848,46,0,3,318,0
83,65,Male,Australia,6737,Electronics,684.69,27.79,PayPal,2,2022-02-24,4,Desktop,Instagram,285,41,0,1,293,1
84,32,Male,India,1361,Clothing,695.98,20.51,Credit Card,3,2023-09-03,6,Desktop,Facebook,124,39,0,4,378,1
85,25,Other,USA,3383,Sports,962.09,15.06,Debit Card,2,2023-04-10,6,Desktop,Email,450,16,0,1,353,0
86,31,Other,India,8570,Home,693.89,34.05,Cash,4,2023-02-09,8,Desktop,Google,397,35,0,4,84,0
87,40,Female,Germany,9601,Sports,565.73,7.89,UPI,3,2023-07-22,4,Mobile,Email,172,4,0,3,378,0
88,57,Female,Germany,6434,Beauty,159.82,21.13,Cash,4,2022-07-01,5,Mobile,Email,118,44,0,1,271,0
89,38,Male,USA,4587,Beauty,839.51,11.95,Credit Card,4,2022-11-02,5,Tablet,Instagram,731,36,0,1,158,1
90,33,Female,UK,4901,Clothing,308.62,24.86,Credit Card,2,2022-12-03,2,Tablet,Email,141,24,0,3,454,0
91,62,Male,USA,3267,Sports,263.79,21.37,Cash,1,2023-08-05,6,Tablet,Instagram,190,28,0,1,222,1
92,35,Female,India,6095,Beauty,256.68,41.76,PayPal,1,2022-01-08,6,Tablet,Facebook,453,13,0,3,460,0
93,64,Female,Germany,6816,Home,458.47,45.7,Cash,4,2023-04-22,3,Desktop,Instagram,649,16,0,3,11,1
94,41,Male,India,1496,Books,16.57,34.3,PayPal,1,2023-01-03,1,Tablet,Facebook,840,49,0,4,381,0
95,43,Other,India,7331,Home,299.2,7.0,PayPal,1,2023-01-01,7,Tablet,Facebook,219,24,0,3,355,0
96,42,Other,Canada,5708,Sports,622.05,7.49,Cash,2,2022-08-28,4,Mobile,Google,951,10,0,5,140,0
97,62,Female,Germany,3357,Beauty,520.15,16.74,UPI,2,2023-01-23,4,Desktop,Email,231,41,0,5,195,0
98,58,Other,Germany,5694,Clothing,181.68,42.6,Cash,1,2023-05-21,6,Desktop,Facebook,334,23,0,2,47,0
99,46,Female,India,7121,Home,695.04,41.92,PayPal,3,2022-10-17,2,Mobile,Email,159,46,0,4,65,0
100,32,Other,Australia,8328,Sports,863.36,19.8,PayPal,1,2023-08-08,3,Tablet,Direct,893,11,0,3,462,0
101,62,Other,Germany,3233,Books,824.28,14.96,UPI,4,2022-03-23,2,Mobile,Direct,331,10,0,3,219,0
102,18,Male,Australia,9943,Beauty,988.14,21.47,Cash,4,2022-09-07,4,Tablet,Email,493,10,0,4,452,0
103,42,Other,Australia,8226,Clothing,984.69,30.89,PayPal,4,2023-07-16,3,Tablet,Instagram,77,38,0,2,277,1
104,24,Female,USA,1907,Books,864.86,49.47,Debit Card,3,2023-03-25,3,Tablet,Google,900,26,0,5,478,0
105,26,Male,Canada,3659,Home,587.47,41.43,Cash,4,2022-12-09,4,Desktop,Google,827,13,0,3,446,1
106,41,Other,USA,3926,Sports,821.81,44.88,Debit Card,3,2023-03-16,9,Mobile,Instagram,350,20,0,2,280,0
107,18,Male,UK,9094,Electronics,985.51,31.43,Debit Card,3,2022-07-27,1,Desktop,Facebook,593,29,0,3,102,0
108,61,Other,UK,5748,Sports,511.93,41.42,Cash,1,2022-01-12,6,Mobile,Direct,495,9,0,5,11,0
109,25,Female,Australia,9538,Books,302.1,26.07,Credit Card,2,2022-08-30,1,Mobile,Facebook,319,43,0,3,170,0
110,41,Female,India,7902,Sports,547.31,33.74,Cash,4,2023-04-15,2,Mobile,Email,818,1,0,2,413,0
111,28,Male,Australia,6188,Sports,868.66,2.91,PayPal,4,2023-12-27,2,Desktop,Direct,927,7,0,3,288,1
112,68,Other,UK,9681,Books,375.77,38.02,UPI,3,2023-07-11,6,Desktop,Facebook,574,21,0,5,138,1
113,34,Other,USA,2513,Home,224.23,21.35,Cash,2,2022-12-18,4,Mobile,Google,259,25,0,2,137,0
114,25,Male,UK,9767,Home,512.84,0.38,Debit Card,2,2022-09-03,1,Tablet,Facebook,707,28,0,5,345,0
115,52,Male,India,8890,Home,911.57,24.32,Cash,4,2022-10-24,5,Desktop,Email,807,13,0,4,22,0
116,52,Female,Germany,1501,Sports,197.1,25.32,Debit Card,4,2022-03-04,7,Tablet,Google,73,30,0,3,460,0
117,50,Male,Canada,9086,Sports,438.96,40.75,UPI,4,2023-07-19,9,Tablet,Instagram,98,49,0,1,427,0
118,22,Other,India,5331,Beauty,525.05,3.78,Cash,1,2023-12-14,7,Desktop,Email,411,13,0,3,304,0
119,59,Male,India,7337,Books,445.14,36.06,Credit Card,1,2023-04-04,7,Desktop,Email,973,43,1,3,357,0
120,56,Female,India,3306,Books,137.25,24.74,Cash,4,2022-06-10,2,Mobile,Instagram,257,8,1,5,354,0
121,58,Male,USA,1483,Beauty,95.63,42.14,PayPal,1,2022-11-02,6,Mobile,Facebook,834,1,1,5,366,0
122,45,Other,Germany,6268,Clothing,255.67,19.39,Debit Card,2,2022-12-22,9,Tablet,Direct,38,28,0,4,213,0
123,24,Male,India,1429,Electronics,356.8,3.16,Debit Card,3,2022-07-21,1,Desktop,Facebook,350,18,0,2,101,0
124,26,Male,Germany,2190,Home,104.25,41.7,PayPal,2,2023-06-13,2,Desktop,Email,850,43,0,3,207,0
125,25,Male,Australia,1845,Electronics,430.8,12.9,Cash,4,2023-02-14,4,Tablet,Facebook,671,14,0,5,237,0
126,29,Female,India,5908,Home,411.12,43.88,UPI,1,2022-09-15,7,Desktop,Google,872,41,0,3,386,0
127,51,Female,USA,6733,Books,690.35,9.63,Cash,2,2022-07-01,8,Desktop,Email,563,36,0,4,269,0
128,50,Female,India,9253,Beauty,476.47,11.35,PayPal,3,2023-03-24,5,Desktop,Email,276,1,0,2,498,0
129,65,Female,Australia,7652,Clothing,768.24,31.51,Cash,4,2022-03-23,7,Tablet,Facebook,84,27,0,5,304,0
130,40,Other,UK,3832,Electronics,512.07,43.24,Credit Card,3,2023-01-31,5,Mobile,Direct,329,36,0,1,150,0
131,41,Other,USA,9359,Sports,901.94,47.82,PayPal,1,2022-03-10,3,Desktop,Google,609,33,0,5,188,0
132,54,Female,India,9422,Books,677.01,27.61,Credit Card,2,2022-01-13,8,Mobile,Facebook,570,21,0,2,356,1
133,52,Female,India,7765,Beauty,884.22,15.39,Credit Card,2,2023-02-09,3,Tablet,Direct,310,40,0,2,383,0
134,61,Female,India,9913,Clothing,60.73,25.55,UPI,1,2022-11-02,8,Desktop,Direct,668,39,0,3,40,0
135,57,Male,UK,7840,Home,940.35,30.85,PayPal,4,2023-01-23,4,Tablet,Direct,609,33,0,4,198,1
136,39,Other,UK,5308,Home,43.81,26.43,UPI,2,2023-02-21,6,Desktop,Google,49,46,0,4,485,0
137,44,Male,India,7654,Clothing,947.18,48.35,PayPal,1,2023-08-16,1,Mobile,Instagram,70,23,0,3,105,0
138,52,Female,UK,6998,Home,742.8,35.22,Credit Card,2,2022-01-08,2,Tablet,Google,457,29,0,4,448,0
139,18,Other,India,3226,Home,776.22,49.12,Debit Card,3,2022-12-14,5,Desktop,Direct,477,37,0,2,26,0
140,52,Female,UK,2048,Sports,209.44,5.96,Cash,2,2022-03-13,1,Tablet,Direct,691,22,0,1,24,0
141,54,Male,Germany,1767,Home,679.86,37.99,Debit Card,4,2022-07-09,1,Tablet,Direct,792,5,0,5,195,0
142,64,Other,Australia,3198,Books,626.2,22.42,PayPal,1,2023-08-31,2,Desktop,Direct,604,41,0,2,63,1
143,31,Male,India,5922,Electronics,311.82,18.35,Debit Card,4,2023-06-01,8,Desktop,Google,786,47,0,4,385,0
144,20,Other,Australia,4563,Books,464.82,17.32,UPI,2,2023-06-30,6,Desktop,Google,431,24,1,4,476,0
145,18,Female,India,6007,Clothing,724.49,26.65,PayPal,3,2022-09-22,6,Desktop,Facebook,619,43,0,1,7,0
146,22,Other,Canada,1306,Clothing,577.44,34.96,UPI,3,2022-11-11,6,Tablet,Facebook,357,18,1,3,248,0
147,43,Male,Canada,3668,Sports,255.07,18.18,PayPal,4,2023-12-29,7,Mobile,Email,764,41,0,4,474,0
148,31,Male,USA,9630,Beauty,135.18,27.01,PayPal,3,2022-07-29,6,Desktop,Direct,368,40,0,2,170,0
149,56,Male,Germany,3425,Books,193.76,20.42,PayPal,2,2022-01-24,4,Mobile,Google,323,1,0,1,267,0
150,44,Male,Germany,4056,Beauty,968.36,30.03,PayPal,2,2022-04-09,5,Mobile,Email,526,7,0,3,353,1
151,26,Female,USA,6053,Books,145.54,9.84,UPI,4,2023-11-19,7,Tablet,Direct,831,21,0,1,110,0
152,32,Male,Canada,9129,Home,412.05,10.02,Debit Card,4,2022-08-22,6,Tablet,Google,84,24,0,4,313,1
153,32,Female,USA,9472,Clothing,561.49,38.47,PayPal,2,2022-08-29,5,Desktop,Instagram,311,19,0,4,136,0
154,43,Other,Canada,2209,Books,440.91,3.96,PayPal,1,2022-11-27,5,Desktop,Instagram,422,33,0,3,370,0
155,59,Male,India,7207,Electronics,84.82,40.1,PayPal,3,2022-04-09,8,Tablet,Google,843,45,0,1,491,0
156,30,Other,Australia,3801,Electronics,620.46,12.74,Debit Card,4,2023-05-25,6,Tablet,Email,594,26,0,3,47,0
157,68,Other,USA,5914,Home,307.22,19.47,UPI,2,2023-04-26,6,Tablet,Instagram,687,4,0,3,414,0
158,49,Female,UK,4390,Beauty,776.17,27.51,Debit Card,3,2023-05-22,2,Tablet,Google,926,17,0,1,295,0
159,56,Male,Australia,5759,Home,625.66,47.96,Credit Card,3,2022-06-28,9,Desktop,Email,507,40,0,4,444,0
160,66,Female,Canada,9735,Beauty,945.82,39.77,UPI,1,2022-04-10,7,Tablet,Email,377,42,0,1,152,0
161,69,Male,India,6793,Sports,135.82,21.76,UPI,3,2023-11-15,7,Mobile,Email,459,46,0,3,220,0
162,49,Other,UK,5060,Sports,530.67,30.96,Cash,2,2023-10-16,7,Desktop,Instagram,692,46,1,1,332,0
163,21,Female,UK,7398,Sports,942.45,49.82,Debit Card,3,2022-08-04,7,Mobile,Google,405,48,0,2,361,0
164,47,Male,Germany,7181,Clothing,486.93,23.47,UPI,3,2023-04-12,9,Desktop,Direct,317,35,0,4,112,0
165,54,Other,Canada,8949,Books,322.12,1.38,PayPal,4,2022-06-14,8,Tablet,Direct,915,47,0,1,475,1
166,40,Female,India,5980,Beauty,842.57,2.7,UPI,4,2022-03-12,5,Tablet,Facebook,809,49,1,1,184,0
167,56,Female,Canada,3247,Beauty,67.02,28.91,Credit Card,3,2022-11-15,1,Tablet,Direct,177,45,0,4,76,0
168,62,Female,India,1263,Clothing,663.23,13.25,Debit Card,2,2023-04-06,8,Tablet,Facebook,940,25,1,5,267,0
169,32,Female,Australia,1745,Sports,265.96,15.56,Cash,2,2023-08-15,4,Mobile,Google,180,7,0,1,173,0
170,60,Other,Canada,6066,Clothing,155.03,44.03,Debit Card,1,2023-11-28,7,Desktop,Facebook,927,36,0,2,186,0
171,46,Other,Australia,7314,Home,938.57,25.2,Cash,1,2022-08-30,1,Tablet,Google,401,37,0,4,219,0
172,53,Other,UK,1498,Sports,744.16,7.89,Debit Card,3,2023-02-20,7,Tablet,Facebook,852,22,0,5,457,1
173,30,Other,Germany,8990,Books,876.65,7.42,Debit Card,3,2023-06-20,7,Desktop,Instagram,618,29,0,5,203,0
174,49,Male,Australia,9652,Beauty,534.43,38.23,Debit Card,1,2022-02-20,4,Tablet,Email,425,31,0,4,178,0
175,24,Other,USA,3458,Home,254.7,18.04,PayPal,1,2022-08-19,6,Mobile,Instagram,81,37,1,2,188,0
176,68,Female,Canada,4931,Home,578.09,29.89,Credit Card,1,2022-02-11,7,Mobile,Google,766,30,0,2,46,0
177,39,Female,UK,5674,Sports,969.18,36.17,UPI,2,2023-02-07,5,Mobile,Facebook,730,29,0,3,353,1
178,45,Female,USA,2167,Clothing,182.3,22.59,Credit Card,1,2022-07-28,5,Tablet,Email,292,12,0,4,126,0
179,19,Female,Australia,7584,Beauty,897.3,18.15,PayPal,3,2022-02-14,4,Mobile,Direct,177,2,0,1,455,0
180,59,Male,USA,3109,Sports,444.08,1.67,Credit Card,1,2022-06-21,4,Desktop,Direct,251,25,0,5,394,0
181,62,Female,USA,6864,Home,436.0,35.61,PayPal,4,2022-11-01,3,Mobile,Email,923,49,0,4,24,0
182,23,Female,Australia,9916,Home,478.13,6.86,Cash,2,2022-07-11,7,Mobile,Google,732,39,0,3,396,0
183,45,Female,UK,2169,Home,851.02,42.84,Credit Card,1,2023-02-22,5,Mobile,Email,341,30,0,2,314,0
184,45,Other,Australia,5753,Home,577.85,41.7,Credit Card,2,2023-07-31,8,Mobile,Facebook,340,25,1,5,363,1
185,61,Other,India,5877,Books,749.25,22.24,PayPal,2,2022-02-24,9,Desktop,Instagram,415,36,0,2,477,0
186,61,Male,USA,3544,Clothing,595.53,4.56,Cash,4,2023-10-11,7,Mobile,Facebook,752,43,0,1,131,0
187,37,Male,Germany,6701,Beauty,110.96,11.97,UPI,1,2022-11-18,6,Desktop,Email,439,34,0,4,129,1
188,47,Male,India,4073,Clothing,671.15,0.4,Cash,3,2023-05-31,6,Mobile,Google,612,24,0,4,100,0
189,28,Female,UK,4833,Sports,274.98,19.04,UPI,2,2023-09-25,3,Mobile,Direct,571,10,1,4,268,0
190,45,Male,USA,1450,Clothing,88.18,46.98,PayPal,3,2023-05-13,9,Mobile,Direct,689,25,0,4,29,0
191,42,Other,UK,2273,Sports,174.15,22.57,Credit Card,1,2023-11-22,3,Tablet,Google,940,30,0,4,246,1
192,56,Other,UK,2468,Electronics,631.9,47.87,Cash,1,2022-03-22,3,Mobile,Instagram,900,43,0,2,13,0
193,50,Other,USA,2703,Electronics,789.68,42.22,Credit Card,1,2022-10-09,1,Desktop,Google,189,30,0,2,256,0
194,18,Female,UK,9093,Sports,331.48,29.72,PayPal,2,2023-07-15,1,Tablet,Direct,539,38,0,4,125,0
195,44,Female,Germany,2032,Clothing,437.17,48.88,UPI,4,2023-03-23,8,Mobile,Email,556,11,0,2,161,1
196,69,Male,Germany,1853,Sports,412.07,38.85,UPI,3,2023-01-22,6,Desktop,Google,552,46,1,5,288,0
197,30,Male,Canada,8468,Home,478.91,49.65,Cash,3,2023-06-03,6,Mobile,Email,985,12,0,5,27,0
198,58,Male,USA,5649,Clothing,476.61,23.53,Credit Card,2,2023-05-17,7,Desktop,Email,287,15,0,5,24,0
199,20,Male,USA,5219,Electronics,8.56,16.76,PayPal,1,2023-05-20,8,Mobile,Facebook,306,36,0,3,141,1
200,56,Female,USA,1692,Beauty,848.09,34.55,Credit Card,1,2023-02-21,9,Tablet,Direct,696,13,0,4,454,0
201,23,Other,Canada,8837,Books,380.99,42.26,Cash,1,2023-01-29,8,Mobile,Direct,165,1,0,3,154,1
202,25,Female,Australia,2325,Books,702.62,30.53,UPI,1,2023-12-05,2,Desktop,Google,961,44,0,5,289,0
203,44,Male,Germany,7490,Electronics,74.55,22.93,Cash,2,2023-12-04,6,Mobile,Google,562,31,0,1,339,0
204,26,Female,Germany,7094,Beauty,903.36,34.34,UPI,2,2022-12-07,5,Desktop,Facebook,495,41,0,1,111,0
205,54,Other,USA,4704,Sports,824.54,18.49,UPI,4,2023-12-29,8,Mobile,Instagram,967,31,0,4,280,0
206,50,Female,UK,3614,Sports,663.24,31.55,Debit Card,2,2023-03-08,7,Desktop,Google,392,11,0,3,203,0
207,68,Other,India,4381,Home,28.39,17.69,PayPal,2,2023-07-16,3,Desktop,Email,756,27,0,3,123,0
208,59,Male,India,8069,Electronics,858.02,34.13,PayPal,2,2022-09-21,4,Mobile,Direct,267,43,0,1,92,0
209,61,Female,USA,2870,Electronics,726.02,7.37,Credit Card,1,2022-02-03,7,Desktop,Direct,736,26,0,3,19,0
210,41,Male,USA,3302,Books,946.97,48.85,Credit Card,1,2022-03-26,3,Tablet,Google,654,47,0,1,6,0
211,32,Male,Germany,5153,Sports,828.95,35.12,Cash,3,2023-06-27,2,Tablet,Facebook,346,23,0,5,325,0
212,49,Other,Germany,7968,Sports,952.53,45.93,Credit Card,2,2023-09-03,1,Mobile,Google,258,9,1,5,311,1
213,49,Other,UK,3154,Home,460.7,48.54,Credit Card,4,2023-05-03,1,Tablet,Email,975,23,0,3,244,0
214,41,Male,Germany,5700,Clothing,831.47,22.13,Credit Card,3,2022-07-12,8,Desktop,Google,902,8,0,4,159,0
215,58,Other,India,4022,Sports,535.09,13.1,UPI,3,2023-12-26,7,Tablet,Facebook,164,45,0,3,491,0
216,69,Other,India,6939,Home,965.01,13.21,Debit Card,1,2022-07-30,6,Mobile,Direct,943,39,0,2,426,0
217,66,Male,Germany,8474,Sports,38.7,9.92,PayPal,4,2023-01-31,4,Desktop,Google,716,4,0,2,192,0
218,66,Male,India,6724,Clothing,279.95,3.32,Credit Card,2,2022-02-02,5,Tablet,Google,910,9,0,5,17,0
219,69,Other,Australia,7669,Books,53.76,19.14,UPI,3,2022-12-12,9,Mobile,Instagram,78,29,0,5,421,1
220,29,Male,India,8575,Beauty,475.07,8.27,Debit Card,4,2023-02-20,9,Mobile,Email,732,10,0,3,476,0
221,56,Male,India,1933,Beauty,769.76,2.44,Debit Card,3,2022-06-21,4,Mobile,Email,235,7,0,2,261,0
222,19,Other,India,5386,Sports,597.85,35.63,PayPal,4,2023-03-23,9,Tablet,Direct,808,31,0,2,72,0
